revision,author,date,title,changed file,insertion,deletion
7968bd306d182d244a73682aebdb9e74edbc6304,Berthold Krevert,2012-08-03 16:56:53 +0200,Fixes a crash in QQuickImageParticle,1,4,2
abe97ed9363ec5d3099ae388c12fb17d3bed3e3c,Michael Brasser,2012-07-09 11:01:48 +1000,Update usage of childrenRect in Flickable docs.,1,10,3
2922f85e707ad086025149fdb7cb1e2608b9e7b2,Morten Johan Sorvig,2012-05-22 12:00:29 +0200,Reduce QtWidgets dependencies in the Cocoa plugin.,6,22,1415
91c44fd31e62bd6aabbd3b4ecbb382558398306a,Honglei Zhang,2012-03-21 13:35:00 +0200,Update QtXmlPatterns module name in documentation,1,1,1
8c4d02f97affdca88e25de894788124033133d87,Janne Anttila,2012-10-31 16:54:18 +0200,Use qt-project.org in tst_hostinfo - qt.nokia.com changed IP address.,1,7,7
e8420af07158dc3aa5c6ea7ddae6f8be4976e454,Jason McDonald,2012-02-07 15:09:44 +1000,qmltest: Perform extra checks after each data row is executed.,4,11,1
4ae829c1dbd0e8a72b82ab4c6cddb0a4ffe009f6,Julien Brianceau,2012-09-11 17:20:30 +0200,qpa: extend drawPixmap capabilities,4,104,42
8820f836467e8ef96908b138db6a012b99c8f58c,Kurt Korbatits,2012-01-23 10:06:38 +1000,Changed qxmlstream unittest to remove its created file after run.,1,6,0
9c2ec72b95c13991f3c62b762783373c3d691337,Friedemann Kleint,2012-11-01 14:31:16 +0100,Improve path search in configure.,7,183,143
3b0aa0d8048ffa0bb75bb7b29c903e4499c796a8,Andrew den Exter,2012-08-06 17:36:20 +1000,Add missing VisualDataGroup documentation.,1,88,8
be2cb6c919d3af82bf53e9c5a7e94c93268d893a,Friedemann Kleint,2012-11-20 11:31:24 +0100,Fix syncqt-warnings about missing QT_BEGIN_HEADER/NAMESPACE.,1,8,0
51ca5582c2475ea91fe2d86793f000f7bed41f51,Lev Zelenskiy,2012-02-06 13:11:10 +1000,QMediaPlayer::setPosition: do not check isSeekable and do not bound by duration,2,2,7
ff192b3c6257db55c17a5d4bc2ec82a238f89e28,Oswald Buddenhagen,2012-08-07 17:14:39 +0200,reshuffle assembly of install commands as well,1,16,24
952df2ffd6e081748837a91dc32d14aa61449e2b,Janne Anttila,2011-11-24 10:31:10 +0200,Fixed QFile::link behaviour for WinCE devices.,1,1,0
8034bc9e833a07c8f4b193849055097f0be7f619,Morten Johan Sorvig,2012-02-27 13:03:47 +0100,Don't use deprecated QWheelEvent::delta(),1,3,1
b8c97e702b56c60fdbd7f72add58a18a9743bf48,Pierre Rossi,2012-12-04 14:27:24 +0100,[Qt] Yet another unreviewed speculative windows build fix.,2,9,1
e10706d393937ccf2c2a33920d66617bacc0e5d7,Martin Jones,2012-07-04 15:27:31 +1000,Mark QQmlComponent::createObject() and incubateObject() as internal,1,7,0
536ec793b69c16611e73cff4360c6f49b644f740,Stephen Kelly,2012-07-09 09:56:56 +0200,Make it possible to use new syntax to connect to model signals.,3,190,31
da90a3a490b452154391676857ac2ffc269d4843,Konstantin Ritt,2012-11-19 19:12:58 +0200,QLocale: replace hard-coded default country-for-language map,4,384,397
4dac6fc70ad3f208ab7bd28af1417edad2d8061f,Jens Bache-Wiig,2012-10-01 17:41:34 +0200,Remove Cleanlooks as a dependency of QGtkStyle,5,694,96
3ef51efbe75bfb9f1dfbe7df073e9eb745a72ad8,Thiago Macieira,2012-08-15 18:03:50 +0200,Avoid an expensive call to toLocal8Bit upon thread creation,1,18,10
7a8883c4342fbb17309cc7dfcc8f6829af33d0cd,Friedemann Kleint,2012-02-16 15:30:37 +0100,Fix naming of plugins for QPA plugins and use new plugin system.,14,37,10
a08e0fca276341396d92c63dd4a417cb482de82d,Kent Hansen,2012-04-22 15:05:56 +0200,Port QtDBus to QMetaMethod-based connectNotify(),6,51,31
49a7c2fe6e905bc192008c13f08842e4b8134ff9,Shane Kearns,2012-02-20 16:18:29 +0000,Make https requests fail fast when configured without ssl support,2,8,1
c8da34cde266da87ab6ede8c53131e8be3b55c74,Toby Tomkins,2012-06-27 12:45:18 +1000,Replace insignificant test with QEXPECT_FAIL.,2,1,2
73ee7cb72e89ededacf90306f39110f1719e84c9,Frederik Gladhorn,2012-03-06 11:26:55 +0100,Check for parent item before calling functions on it.,1,1,1
1f5e058f79f95e869d8de300596137463492056c,Pekka Vuorela,2012-03-16 14:08:13 +0200,Testability for password mask delay,5,32,5
1260f64f174a8b24a618b6fe1e9e67ab69c33118,Frederik Gladhorn,2012-11-20 15:45:41 +0100,Change copyright to Digia 2012 and contact to qt-project.,54,108,108
5daace87139ed4b36b756bcd51ddb6f8fe22897b,Frederik Gladhorn,2012-01-07 01:47:06 +0100,Improve Accessibility documentation.,1,5,1
e02a144a3c8e7858d879ac2d0038bc7d00906ae6,Thiago Macieira,2012-03-29 11:11:03 -0300,Finish cleaning up com.trolltech -> org.qtproject in QtDBus,27,129,106
86cbf1709325427df0c8ed0d61f9e29f07c67e1c,Denis Shienkov,2012-08-06 13:16:29 +0400,Move all dependent variables and methods to SerialPort namespace,5,7,13
5211f45d58f58e99395a71f0c17e797a854093d6,Giuseppe D'Angelo,2012-06-26 19:04:59 +0100,Fix compilation for XCB-without-Xlib,1,1,1
0b64c4d566f894542f5f242c91f5eff3c825c05f,Lorn Potter,2012-04-20 12:44:16 +1000,make slam a bit more reliable.,2,2,0
b9a2a0141f4c8f0608f905a733621ebb436958e4,J-P Nurmi,2012-10-08 14:43:03 +0200,QGtkStyle: cleanup unused gdk_drawable_get_depth() (not avail in GTK3),2,0,7
58e064a5dff1289bff0d304ae8798b43d67587f7,Alan Alpert,2012-03-22 13:17:11 +1000,Check for null pointer dereference,2,4,4
d3e3404d570373fcb746c89827990aa2a9a4cb17,Tasuku Suzuki,2012-05-17 05:15:08 +0900,Fix QtWidgets compilation for -qconfig large,3,14,0
9f4d6e824c1b75642150f448f8a359dbc95fb955,hjk,2012-11-20 15:20:24 +0100,QtMultimedia: examples/camera coding style,6,57,72
7ac1a943b824d8624d16397fd4f8a5fa17a7dd9b,Yann Bodson,2012-05-16 12:59:32 +1000,Add optional width and height arguments to mapToItem()/mapFromItem(),3,204,26
64da20405a8928ea1f322e51ad6cb76fdf7cacc4,Gabriel de Dietrich,2012-11-12 14:46:42 +0100,QWidget: Move break statement to the right place,1,1,1
e75b0e8c72008f800704828cd4f1eae97b523848,Thiago Macieira,2012-04-24 16:27:35 +0200,Replace the x86 XGETBV instruction with its opcode bytes,1,1,1
805dc9c24d6854201b7235e7d6f6fd6241fbed68,Iikka Eklund,2012-09-24 08:52:28 +0300,Change copyrights from Nokia to Digia,1372,21055,21055
0f929bfa9aa76d7db54a62c6a571e97224384ec1,Kurt Korbatits,2012-03-12 14:24:02 +1000,Fixed benchmarks to work from install directory,18,104,32
78a239bc6d344f53cf48e4bceca7d45df69220e6,David Schulz,2012-11-21 15:45:13 +0100,QtBase: examples/widgets/itemviews/addressbook codestyle,11,69,73
9c0ea2c3e77ee2c101a7d3351455f87cda0d8f21,Matthew Vogt,2012-05-14 14:43:24 +1000,Ensure scale property is initialized,2,2,2
72ae9e8396bce07c020623c99a7a6780cb38e7ca,Jan-Arve Saether,2012-01-06 14:56:40 +0100,Reuse the OObject* in QAccessibleObject,4,29,31
80ae1d2078d2fe137f8a88268c66440bf19bc1ba,Marc Mutz,2012-10-21 19:02:51 +0200,QSignalSpy: assorted improvements,2,13,10
de00d8e2d287344229ef6da0fdb19e9846ab6dd9,Kent Hansen,2012-01-09 14:09:32 +0100,Use QMetaType::QVariant as the type for QVariant,5,29,43
e7a6dacf805602eb76786244da76dae29624bfb7,Thiago Macieira,2012-02-27 16:01:53 +0100,Unify the atomic implementation for x86 architectures,4,96,394
55024ee0f9150eef30fcdb4c8b74d7083022f472,Bjoern Breitmeyer,2012-05-04 14:06:42 +0200,removed unneccessary wince ifdef,1,0,2
3c4cfff7837da56dc0c3ebc4d7ad535739d6deaa,Kent Hansen,2012-06-06 13:12:50 +0200,Use the correct ifdef (QT_WIDGETS_LIB) in qsqlrelationaldelegate.h,1,2,2
c4395849c8d3acdc85578d851ea2c596aa21b0a7,Martin Smith,2012-01-11 12:24:13 +0100,qdoc3: Fixed bug in the human-readable id attrs,4,47,8
9a81e371079d6aab20f6c4a43031857f4172688c,Sean Harmer,2012-03-09 17:21:22 +0000,Rename blackberry QPA plugin to QNX,63,7675,7675
437da962c2b486b1a1722aac003bfa00b93ac204,Arnt Witteveen,2012-03-14 14:53:32 +0100,Fix bug showing folder icons for files,1,10,9
a86b3d76a505d5a8e3b04047e9f7944836b34304,J-P Nurmi,2012-09-26 16:34:29 +0200,tst_QMessageBox: fix Q_OS_MAC usage,1,5,3
425b925b7e9dd818f2a58fd7bc77bfe8475e6483,Thiago Macieira,2012-05-02 17:15:08 +0200,Simplify the size of the QVarLengthArray buffer.,1,1,2
5a2de6d2fae4e1afeef200d88e617154558ecc34,Dmytro Poplavskiy,2012-05-03 17:48:13 +1000,Declare and register metatypes for media encoder settings classes,2,18,0
be6e270d12a8267194bab669c111be9c1ec9615c,Teemu Katajisto,2012-08-22 12:09:21 +0300,QtPrintSupport: use CUPS defaults for UNIX print dialog,3,178,290
09b605ddcc33575316211156ff5979aa92e7e1fd,Michael Brasser,2012-06-14 10:18:45 +1000,Enable literal Qt enum assignment to enum properties.,4,50,9
8bdceb93573971deb7ff4327dfa580956c8d9c03,Dmytro Poplavskiy,2012-06-29 14:21:58 +1000,Gst Capture: image capture fixes,3,25,2
4f94c73d6bfa0ed8e7fc098835f4ff25186b8934,Frederik Gladhorn,2012-01-05 22:10:20 +0100,Image interface functions should be const.,3,9,9
5fae23eb26b172d4677db273049119b16db272d3,Oswald Buddenhagen,2012-08-02 15:37:50 +0200,introduce -fully-process configure option,2,31,15
12c74ff618b9cfdc03ccacc4262a02a7ecf1e846,Alan Alpert,2012-03-02 11:05:10 +1000,Update positioners examples to new guidelines,9,365,305
214894da165cb2b0476528f7417941a834a57de9,Bradley T. Hughes,2012-02-03 09:22:53 +0100,"Remove #include ""qatomic_macosx.h""",1,0,2
bf722c1ab387e8892242dcaacd8afd36d592ebb6,Sergio Ahumada,2012-10-29 23:13:05 +0100,test: Remove QSKIP from tst_QByteArray::literals(),1,5,4
730dfc74d3e679505fe976e6be6470215e921565,Mitch Curtis,2012-05-18 15:42:00 +0200,"Fixed ""No such signal"" error in download example output.",1,3,0
fc15a1d5e2cb064df7b6e7b9e821e9db20a91b85,Mark Brand,2012-06-05 13:50:03 +0200,QSqlResult: replace virtual hooks with virtual functions,15,63,63
b7272efb652207057a4ad1274c0740e3032a8815,Frederik Gladhorn,2012-11-09 13:20:23 +0100,Simplify elementType string comparisons,1,4,6
1c86619037d837e2d9c6386d70b6b893f8456a96,Johannes Zellner,2012-06-11 15:57:17 -0700,raspberry pi: Dont use the video layer for EGLFS,1,1,1
